color,tessract_text,easyocr_text
"(183, 112, 152)","[Purple Panna Cotta
",Purple Panna Cutta
"(79, 34, 31)","Media
",Media
"(165, 111, 67)","Naturally Transformed
",Naturally Transformed
"(188, 101, 133)","Creme De La Femme
",Creme De La Femme
"(28, 22, 24)","Stallion, In The Spirit

",Stallion In The Spirit
"(176, 41, 136)","Raspberry Creme
",Raspberry Creme
"(247, 195, 181)",,
"(185, 96, 128)","lHot Gossip
",Hot Gossip
"(230, 53, 141)","Raspberry Pavlova
",Raspberry Pavlova
"(137, 107, 105)","Deep Rooted }
",Deep Rooted
"(243, 177, 161)",,
"(152, 110, 88)","Fresh Brew.
",Fresh Brew
"(166, 75, 106)","Plumful
",Plumful
"(193, 41, 36)","iF ashion Legacy
",Fashion Legacy
"(232, 130, 178)",,Peally Gi
"(127, 86, 82)","Viva Glam V |
",Viva Glam
"(207, 120, 100)","Doe }
",Doe;
"(145, 89, 56)","Photo
",Photo
"(161, 68, 97)","iCaptive
",Captive
"(181, 38, 34)","iFeels So Grand
",Feels So Grand
"(229, 189, 197)",,
"(134, 47, 38)","iCarnivorous
",carnivorous
"(232, 143, 175)",,Pave Bunn
"(206, 151, 146)",,Nothing To
"(238, 149, 119)","Bite O' Georgia
",Bite @' Geurgia
"(152, 210, 195)",,
"(216, 115, 145)","IStar Magnolia
",Star Maynolia
"(227, 109, 97)","Rich & Restless
",Rich & Restless
"(219, 133, 158)",,Strawbety Mousse
"(201, 143, 142)",,Really Me
"(233, 119, 92)","Sushi Kiss }
",Sushi Kiss
"(129, 202, 191)",,Galactic
"(210, 101, 140)","[Pink Nouveau
",Pink Nouveau
"(218, 57, 37)","iQuite The Standout
",Quite The Standout
"(244, 125, 165)","BElectric Rainbow . “~
",Electric Painbow
"(200, 135, 129)","Driftwood, Baby's All Right (Ltd. Ed.) |
",Driftwroud; Babi Right (Lid; Ed
"(217, 107, 72)","CB 96. }
",CB 96
"(218, 95, 139)","Pink Pearl Pop
",Pink Peail Pop
"(174, 120, 110)","0 Me.
",30 Me
"(215, 78, 108)","BPink Trip! § ¢
",Pink Trip
"(187, 104, 96)","Shanghai Spice }
",Shanghai Spice
"(234, 119, 65)","Saigon Summer }
",Saigon Summe
"(210, 90, 135)","Speed Dial
","Speed Dial"""
"(189, 122, 103)","I _adybegood
",adybegood
"(218, 58, 84)","[Gumdrop
",Gumdrop
